City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,hilo,19.7297,-155.09,26.85,75,20,3.6,US,1735863016
164,newman,37.3138,-121.0208,14.46,66,57,1.34,US,1735863017
165,tosontsengel,48.7567,98.2839,-28.07,86,15,0.6,MN,1735863018
166,murashi,59.3999,48.9615,-6.22,85,100,6.01,RU,1735863019
167,spanish wells,26.323,-81.7957,19.42,70,0,2.57,US,1735863021
168,west island,-12.1568,96.8225,26.99,78,40,6.17,CC,1735863022
169,codrington,-38.2667,141.9667,21.8,36,1,4.04,AU,1735863023
170,lubao,14.9167,120.55,24.66,91,95,1.53,PH,1735863024
171,peniche,39.3558,-9.3811,10.31,80,100,5.58,PT,1735863025
172,fortuna,40.5982,-124.1573,16.07,96,100,2.68,US,1735863026
173,north lakhimpur,27.2333,94.1167,10.05,100,0,0.51,IN,1735863028
174,'alaqahdari dishu,30.4374,63.313,2.6,66,74,4.62,AF,1735863029
175,oakdale,44.963,-92.9649,-7.93,72,100,8.23,US,1735863030
176,novodvinsk,64.4165,40.8122,-7.14,98,99,1.97,RU,1735863031
177,muktsar,30.4833,74.5167,13.82,20,100,1.48,IN,1735863032
178,sotkamo,64.1333,28.4167,-13.64,99,100,1.08,FI,1735863033
179,punta del este,-34.9667,-54.95,19.06,79,20,5.66,UY,1735863035
180,thompson,55.7435,-97.8558,-23.35,89,96,3.6,CA,1735863036
181,dryden,49.7833,-92.7503,-14.84,78,100,4.12,CA,1735863037
182,puerto natales,-51.7236,-72.4875,12.28,64,18,3.25,CL,1735863038
183,campo formoso,-10.5075,-40.3214,24.17,41,46,1.7,BR,1735863039
184,tiksi,71.6872,128.8694,-29.94,97,100,4.7,RU,1735863040
185,segou,13.4317,-6.2157,20.11,20,0,5.98,ML,1735863041
186,tofol,5.3248,163.0078,30.88,70,75,3.6,FM,1735863043
187,paysandu,-32.3214,-58.0756,27.0,18,0,4.19,UY,1735863044
188,piti village,13.4626,144.6933,27.39,89,40,8.2,GU,1735863045
189,simpang,-1.2667,104.0833,23.92,96,100,0.5,ID,1735863046
190,tabou,4.423,-7.3528,26.92,85,71,2.95,CI,1735863047
191,anloga,5.7947,0.8973,27.29,84,24,4.63,GH,1735863048
192,high rock,26.6208,-78.2833,21.1,61,94,6.22,BS,1735863050
193,aasiaat,68.7098,-52.8699,-2.52,97,100,4.48,GL,1735863051
194,brookings,44.3114,-96.7984,-8.3,87,100,3.6,US,1735863052
195,usogorsk,63.4106,48.6872,-5.87,97,100,2.16,RU,1735863053
196,ikaalinen,61.7695,23.0658,-8.17,85,80,2.46,FI,1735863054
197,corner brook,48.9667,-57.9484,3.84,85,100,4.9,CA,1735863056
